"STATION_NUMBER","year","month","monthly_mean"
"08NN003",2014,6,31.53
"08NN003",2014,7,7.061
"08NN003",2014,8,1.799
"08NN003",2014,9,1.475
"08NN003",2014,10,2.109
"08NN003",2014,11,4.084
"08NN003",2014,12,2.956
"08NN003",2015,1,2.987
"08NN003",2015,2,11.789
"08NN003",2015,3,24.917
"08NN003",2015,4,31.563
"08NN003",2015,5,29.874
"08NN003",2015,6,14.239
"08NN003",2015,7,1.909
"08NN003",2015,8,0.702
"08NN003",2015,9,0.775
"08NN003",2015,10,0.927
"08NN003",2015,11,1.418
"08NN003",2015,12,1.256
"08NN003",2016,1,1.613
"08NN003",2016,2,3.428
"08NN003",2016,3,15.288
"08NN003",2016,4,75.233
"08NN003",2016,5,47.339
"08NN003",2016,6,19.663
"08NN003",2016,7,8.68
"08NN003",2016,8,2.358
"08NN003",2016,9,1.479
"08NN003",2016,10,4.829
"08NN003",2016,11,8.588
"08NN003",2016,12,4.084
"08NN003",2017,1,3.767
"08NN003",2017,2,3.549
"08NN003",2017,3,6.914
"08NN003",2017,4,45.833
"08NN003",2017,5,103.384
"08NN003",2017,6,39.397
"08NN003",2017,7,4.343
"08NN003",2017,8,0.969
"08NN003",2017,9,0.627
"08NN003",2017,10,0.971
"08NN003",2017,11,1.475
"08NN003",2017,12,1.192
"08NN003",2018,1,1.156
"08NN003",2018,2,1.552
"08NN003",2018,3,3.755
"08NN003",2018,4,46.462
"08NN003",2018,5,135.777
"08NN003",2018,6,22.587
"08NN003",2018,7,4.798
"08NN003",2018,8,1.149
"08NN003",2018,9,1.126
"08NN003",2018,10,1.551
"08NN003",2018,11,3.288
"08NN003",2018,12,1.591
"08NN003",2019,1,1.514
"08NN003",2019,2,1.173
"08NN003",2019,3,1.906
"08NN003",2019,4,29.562
"08NN003",2019,5,35.439
"08NN003",2019,6,9.476
"08NN003",2019,7,5.339
"08NN003",2019,8,1.709
"08NN003",2019,9,3.067
"08NN003",2019,10,5.009
"08NN003",2019,11,4.163
"08NN003",2019,12,2.922
"08NN003",2020,1,2.686
"08NN003",2020,2,2.677
"08NN003",2020,3,3.283
"08NN003",2020,4,37.353
"08NN003",2020,5,102.765
"08NN003",2020,6,54.423
"08NN003",2020,7,11.696
"08NN003",2020,8,1.725
"08NN003",2020,9,0.884
"08NN003",2020,10,1.419
"08NN003",2020,11,1.985
"08NN003",2020,12,1.665
"08NN003",2021,1,1.708
"08NN003",2021,2,1.535
"08NN003",2021,3,3.068
"08NN003",2021,4,32.409
"08NN003",2021,5,48.658
"08NN003",2021,6,16.957
"08NN003",2021,7,1.767
"08NN003",2021,8,0.599
"08NN003",2021,9,0.57
"08NN003",2021,10,1.105
"08NN003",2021,11,2.232
"08NN003",2021,12,2.565
"08NN003",2022,1,1.933
"08NN003",2022,2,2.075
"08NN003",2022,3,5.537
"08NN003",2022,4,16.777
"08NN003",2022,5,46.91
"08NN003",2022,6,64.8
"08NN003",2022,7,14.676
"08NN003",2022,8,2.059
"08NN003",2022,9,1.046
"08NN003",2022,10,0.851
"08NN003",2022,11,0.987
"08NN003",2022,12,1.05
"08NN003",2023,1,1.369
"08NN003",2023,2,1.074
"08NN003",2023,3,1.272
"08NN003",2023,4,12.855
"08NN003",2023,5,103.126
"08NN003",2023,6,15.755
"08NN003",2023,7,4.466
"08NN003",2023,8,1.078
"08NN003",2023,9,0.77
"08NN003",2023,10,0.954
"08NN003",2023,11,1.064
"08NN003",2023,12,1.17
"08NN003",2024,1,1.28
"08NN003",2024,2,5.093
"08NN003",2024,3,9.142
"08NN003",2024,4,27.723
"08NN003",2024,5,40.865
"08NN003",2024,6,23.347
"08NN003",2024,7,4.962
"08NN003",2024,8,1.284
"08NN003",2024,9,0.915
"08NN003",2024,10,1.345
"08NN003",2024,11,2.068
"08NN003",2024,12,1.56
"08NN015",1949,6,3.704
"08NN015",1949,7,1.687
"08NN015",1949,8,1.342
"08NN015",1949,9,1.071
"08NN015",1950,7,3.763
"08NN015",1950,8,1.015
"08NN015",1950,9,0.332
"08NN015",1951,7,2.175
"08NN015",1951,8,0.462
"08NN015",1951,9,0.513
"08NN015",1952,7,2.716
"08NN015",1952,8,0.39
"08NN015",1952,9,0.226
"08NN015",1953,7,4.678
"08NN015",1953,8,1.016
"08NN015",1953,9,1.007
"08NN015",1954,7,6.815
"08NN015",1954,8,2.085
"08NN015",1954,9,3.818
"08NN015",1955,6,26.6
"08NN015",1955,7,7.212
"08NN015",1955,8,1.114
"08NN015",1955,9,0.544
"08NN015",1956,7,1.7
"08NN015",1956,8,0.486
"08NN015",1956,9,0.515
"08NN015",1956,10,1.04
"08NN015",1957,7,2.487
"08NN015",1957,8,1.977
"08NN015",1957,9,0.614
"08NN015",1964,11,0.898
"08NN015",1964,12,1.073
"08NN015",1965,1,0.65
"08NN015",1965,2,0.507
"08NN015",1965,3,0.507
"08NN015",1965,4,2.668
"08NN015",1965,5,13.219
"08NN015",1965,6,15.088
"08NN015",1965,7,2.005
"08NN015",1965,8,2.212
"08NN015",1965,9,2.622
"08NN015",1965,10,1.25
"08NN015",1965,11,0.823
"08NN015",1965,12,0.323
"08NN015",1966,1,0.313
"08NN015",1966,2,0.272
"08NN015",1966,3,0.3
"08NN015",1966,4,1.247
"08NN015",1966,5,12.075
"08NN015",1966,6,10.884
"08NN015",1966,7,3.284
"08NN015",1966,8,0.793
"08NN015",1966,9,0.478
"08NN015",1966,10,0.718
"08NN015",1966,11,0.937
"08NN015",1966,12,0.946
"08NN015",1967,1,0.656
"08NN015",1967,2,0.351
"08NN015",1967,3,0.358
"08NN015",1967,4,0.665
"08NN015",1967,5,10.465
"08NN015",1967,6,19.933
"08NN015",1967,7,1.909
"08NN015",1967,8,0.276
"08NN015",1967,9,0.169
"08NN015",1967,10,0.56
"08NN015",1967,11,1.072
"08NN015",1967,12,0.419
"08NN015",1968,1,0.369
"08NN015",1968,2,0.338
"08NN015",1968,3,0.517
"08NN015",1968,4,0.87
"08NN015",1968,5,13.612
"08NN015",1968,6,17.858
"08NN015",1968,7,3.6
"08NN015",1968,8,1.608
"08NN015",1968,9,2.256
"08NN015",1968,10,1.855
"08NN015",1968,11,1.668
"08NN015",1968,12,0.881
"08NN015",1969,1,0.22
"08NN015",1969,2,0.202
"08NN015",1969,3,0.243
"08NN015",1969,4,3.488
"08NN015",1969,5,18.679
"08NN015",1969,6,9.506
"08NN015",1969,7,2.595
"08NN015",1969,8,0.326
"08NN015",1969,9,0.641
"08NN015",1969,10,1.431
"08NN015",1969,11,1.591
"08NN015",1969,12,0.451
"08NN015",1970,1,0.346
"08NN015",1970,2,0.324
"08NN015",1970,3,0.301
"08NN015",1970,4,0.331
"08NN015",1970,5,9.962
"08NN015",1970,6,11.001
"08NN015",1970,7,0.908
"08NN015",1970,8,0.187
"08NN015",1970,9,0.205
"08NN015",1970,10,0.23
"08NN015",1970,11,0.228
"08NN015",1970,12,0.22
"08NN015",1971,1,0.258
"08NN015",1971,2,0.248
"08NN015",1971,3,0.388
"08NN015",1971,4,2.475
"08NN015",1971,5,19.468
"08NN015",1971,6,20.01
"08NN015",1971,7,6.185
"08NN015",1971,8,0.516
"08NN015",1971,9,0.402
"08NN015",1971,10,0.3
"08NN015",1971,11,0.275
"08NN015",1971,12,0.2
"08NN015",1972,1,0.177
"08NN015",1972,2,0.247
"08NN015",1972,3,0.463
"08NN015",1972,4,1.047
"08NN015",1972,5,19.008
"08NN015",1972,6,22.827
